desc,type,node,capacity_2030,capacity_2040,expand_2030,expand_2040,pmin,allow_curtailment,fuelcost,fuelcost_ref,pavg,inflow_fac,inflow_ref,cost_scaling,p_maxNew,storage_cap,storage_price,storage_ini,storval_filling_ref,storval_time_ref,pump_cap,pump_efficiency,pump_deadband
NO_bio,bio,NO_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
NO_gas,gas,NO_main,0.0,0.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
NO_hydro,hydro,NO_main,33361.0,-140.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
NO_oil,oil,NO_main,0.0,0.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
NO_other_non_res,other_non_res,NO_main,265.0,0.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
NO_other_res,other_res,NO_main,0.0,0.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
NO_solar,solar,NO_main,600.0,-200.0,0,0,0,1,1,fuel_solar,0,1,solar_NO,1,0,0,,,,,,,
NO_wind,wind,NO_wind,200.0,200.0,0,0,0,1,1,fuel_wind,0,1,wind_NO,1,0,0,,,,,,,
NO_onshore_wind,onshore_wind,NO_main,6060.0,-662.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_NO,1,0,0,,,,,,,
NO_hard_coal,hard_coal,NO_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
NO_nuclear,nuclear,NO_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
DK_bio,bio,DK_main,2085.0,-780.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
DK_gas,gas,DK_main,1324.0,-726.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
DK_hydro,hydro,DK_main,0.0,0.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
DK_oil,oil,DK_main,816.0,-14.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
DK_other_non_res,other_non_res,DK_main,340.0,-30.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
DK_other_res,other_res,DK_main,155.0,-3.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
DK_solar,solar,DK_main,6467.0,2840.0,0,0,0,1,1,fuel_solar,0,1,solar_DK,1,0,0,,,,,,,
DK_wind,wind,DK_wind,6830.0,4752.0,0,0,0,1,1,fuel_wind,0,1,wind_DK,1,0,0,,,,,,,
DK_onshore_wind,onshore_wind,DK_main,6157.0,-956.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_DK,1,0,0,,,,,,,
DK_hard_coal,hard_coal,DK_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
DK_nuclear,nuclear,DK_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
DE_bio,bio,DE_main,0.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
DE_gas,gas,DE_main,25898.0,2439.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
DE_hydro,hydro,DE_main,15055.0,270.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
DE_oil,oil,DE_main,851.0,-214.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
DE_other_non_res,other_non_res,DE_main,9871.0,1237.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
DE_other_res,other_res,DE_main,7570.0,1087.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
DE_solar,solar,DE_main,96140.0,29646.0,0,0,0,1,1,fuel_solar,0,1,solar_DE,1,0,0,,,,,,,
DE_wind,wind,DE_wind,23632.0,16387.0,0,0,0,1,1,fuel_wind,0,1,wind_DE,1,0,0,,,,,,,
DE_onshore_wind,onshore_wind,DE_main,75372.0,13428.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_DE,1,0,0,,,,,,,
DE_hard_coal,hard_coal,DE_main,17042.0,-17042.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
DE_nuclear,nuclear,DE_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
NL_bio,bio,NL_main,650.0,-650.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
NL_gas,gas,NL_main,10615.0,10229.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
NL_hydro,hydro,NL_main,38.0,0.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
NL_oil,oil,NL_main,0.0,0.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
NL_other_non_res,other_non_res,NL_main,3817.0,-154.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
NL_other_res,other_res,NL_main,600.0,0.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
NL_solar,solar,NL_main,27264.0,14654.0,0,0,0,1,1,fuel_solar,0,1,solar_NL,1,0,0,,,,,,,
NL_wind,wind,NL_wind_1,5735.0,9290.0,0,0,0,1,1,fuel_wind,0,1,wind_NL,1,0,0,,,,,,,
NL_wind,wind,NL_wind_2,5735.0,9290.0,0,0,0,1,1,fuel_wind,0,1,wind_NL,1,0,0,,,,,,,
NL_onshore_wind,onshore_wind,NL_main,7976.0,2512.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_NL,1,0,0,,,,,,,
NL_hard_coal,hard_coal,NL_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
NL_nuclear,nuclear,NL_main,486.0,-486.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
BE_bio,bio,BE_main,354.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
BE_gas,gas,BE_main,8731.0,-44.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
BE_hydro,hydro,BE_main,1372.0,3.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
BE_oil,oil,BE_main,158.0,0.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
BE_other_non_res,other_non_res,BE_main,1379.0,0.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
BE_other_res,other_res,BE_main,549.0,0.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
BE_solar,solar,BE_main,10400.0,6000.0,0,0,0,1,1,fuel_solar,0,1,solar_BE,1,0,0,,,,,,,
BE_wind,wind,BE_wind,5800.0,0.0,0,0,0,1,1,fuel_wind,0,1,wind_BE,1,0,0,,,,,,,
BE_onshore_wind,onshore_wind,BE_main,4669.0,2224.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_BE,1,0,0,,,,,,,
BE_hard_coal,hard_coal,BE_main,0.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
BE_nuclear,nuclear,BE_main,0.0,0.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
UK_bio,bio,UK_main,18.0,0.0,0,0,0,1,1,fuel_bio,0,1,const,1,0,0,,,,,,,
UK_gas,gas,UK_main,19802.0,0.0,0,0,0,1,1,fuel_gas,0,1,const,1,0,0,,,,,,,
UK_hydro,hydro,UK_main,4839.0,196.0,0,0,0,1,1,fuel_hydro,0,1,inflow_hydro,1,0,0,,,,,,,
UK_oil,oil,UK_main,460.0,0.0,0,0,0,1,1,fuel_oil,0,1,const,1,0,0,,,,,,,
UK_other_non_res,other_non_res,UK_main,7442.0,0.0,0,0,0,1,1,fuel_other_non_res,0,1,const,1,0,0,,,,,,,
UK_other_res,other_res,UK_main,6422.0,3394.0,0,0,0,1,1,fuel_other_res,0,1,const,1,0,0,,,,,,,
UK_solar,solar,UK_main,23408.0,21860.0,0,0,0,1,1,fuel_solar,0,1,solar_UK,1,0,0,,,,,,,
UK_wind,wind,UK_wind_1,17375.0,11061.0,0,0,0,1,1,fuel_wind,0,1,wind_UK,1,0,0,,,,,,,
UK_wind,wind,UK_wind_2,17375.0,11061.0,0,0,0,1,1,fuel_wind,0,1,wind_UK,1,0,0,,,,,,,
UK_onshore_wind,onshore_wind,UK_main,26590.0,13165.0,0,0,0,1,1,fuel_onshore_wind,0,1,wind_UK,1,0,0,,,,,,,
UK_hard_coal,hard_coal,UK_main,3392.0,0.0,0,0,0,1,1,fuel_hard_coal,0,1,const,1,0,0,,,,,,,
UK_nuclear,nuclear,UK_main,9328.0,1670.0,0,0,0,1,1,fuel_nuclear,0,1,const,1,0,0,,,,,,,
